Precio final S_{T};resíduos;Payoff neto;estado;Semilla
23.103445760325375;0.0;2.987209185797413;ITM;774792692
21.03259222791756;0.0;0.9163556533895996;ITM;774792692
21.963709986445643;0.0;1.8474734119176812;ITM;774792692
32.39813926272563;0.0;12.281902688197667;ITM;774792692
19.457678967920366;0.0;-0.6585576066075962;ITM;774792692
18.573059304944113;0.0;-1.5431772695838486;ITM;774792692
24.475706063912064;0.0;4.359469489384102;ITM;774792692
13.002213422886873;0.0;-2.2062365745279617;OTM;774792692
7.954405133950164;0.0;-2.2062365745279617;OTM;774792692
15.701601239769206;0.0;-2.2062365745279617;OTM;774792692
14.596942858141247;0.0;-2.2062365745279617;OTM;774792692
16.79406285721777;0.0;-2.2062365745279617;OTM;774792692
15.661890537360716;0.0;-2.2062365745279617;OTM;774792692
12.738473277029353;0.0;-2.2062365745279617;OTM;774792692
17.450243216341637;0.0;-2.2062365745279617;OTM;774792692
17.437821467634105;0.0;-2.2062365745279617;OTM;774792692
16.18491147898155;0.0;-2.2062365745279617;OTM;774792692
14.859160419336739;0.0;-2.2062365745279617;OTM;774792692
11.328539766437219;0.0;-2.2062365745279617;OTM;774792692
16.44222769781103;0.0;-2.2062365745279617;OTM;774792692
14.361847154350771;0.0;-2.2062365745279617;OTM;774792692
14.336691960600144;0.0;-2.2062365745279617;OTM;774792692
14.905223088321746;0.0;-2.2062365745279617;OTM;774792692
13.896997958361906;0.0;-2.2062365745279617;OTM;774792692
17.26385414020834;0.0;-2.2062365745279617;OTM;774792692
14.66784822622311;0.0;-2.2062365745279617;OTM;774792692
17.382444736127347;0.0;-2.2062365745279617;OTM;774792692
13.582904498710995;0.0;-2.2062365745279617;OTM;774792692
15.503025699433378;0.0;-2.2062365745279617;OTM;774792692
13.65268673245031;0.0;-2.2062365745279617;OTM;774792692
12.839775517271752;0.0;-2.2062365745279617;OTM;774792692
17.598468870634953;0.0;-2.2062365745279617;OTM;774792692
16.701792880951153;0.0;-2.2062365745279617;OTM;774792692
