Tiempo;Trayectoria 1;Trayectoria 2;Trayectoria 3;Trayectoria 4;Trayectoria 5;Trayectoria 6;Trayectoria 7;Trayectoria 8;Trayectoria 9;Trayectoria 10;Semilla
0,72;-0,7223424086142516;-0,4162327034170955;-1,0848974763804384;-0,09851566470692066;-0,48897542321727216;-0,3438226030175829;1,105348816492945;-1,6429528289579882;0,42278782444208113;-0,2713238287901405;709626436
0,73;-0,8187868557115547;-0,2874757415140044;-1,1797676942012205;-0,011859231708030729;-0,3443702002961856;-0,33810236371065105;1,025244679200712;-1,7088017868155618;0,4902524539833212;-0,19726057392536622;709626436
0,74;-0,7379131871114812;0,011144104918121345;-1,2312929883189818;-0,016263301526887087;-0,38812799154238276;-0,1950397569372115;1,1685675680372036;-1,7855939287988196;0,3388549644715773;0,042633945456094696;709626436
0,75;-1,0013271372039672;-0,08339963873701695;-1,2738499627762718;0,002432518483494038;-0,27368547368343504;-0,41294970597715597;1,0835106638502046;-1,6064066650124822;0,2271198079468908;0,03790309259018739;709626436
0,76;-0,9982843414444054;-0,09295163284044647;-1,2269615097632889;0,05057777403698574;-0,326871595565315;-0,32487178639763664;0,9499257886399535;-1,7605274582871435;0,16817027646363067;0,038301614875416556;709626436
0,77;-0,9848857671634655;-0,08969509320355919;-1,183042347097661;-0,038944021509453;-0,49611232482763484;-0,24415708014024728;0,9282551460509005;-1,79365996772085;0,22083587973300212;0,1692673446256631;709626436
0,78;-1,114645765544232;-0,22415930530803774;-1,103787664510448;-0,16565075011177333;-0,4551240621499461;-0,10034628986337604;0,8560260474388508;-1,866026158563691;0,25006787008040765;0,20459901899636007;709626436
0,79;-1,3241455166829583;-0,03877286276273634;-1,0194696897252116;-0,1895554983303348;-0,32632496807179645;-0,007601155643760668;0,8331357377088976;-1,7953778190926968;0,34280947080726387;0,23775566371213488;709626436
0,8;-1,2196727236430291;-0,18766807091678306;-1,0690296872746907;-0,32746288050237693;-0,21073295693617886;0,03452977983328927;0,6959178053308762;-1,7724481235494696;0,16864770346108954;0,17760673450206443;709626436
0,81;-1,2434424500493828;-0,17953063524209825;-1,2236678338796942;-0,4426516295782164;0,05306729898488302;0,1928374960128063;0,5793425624017912;-1,8708298829096284;0,2737538417561268;0,04150346075201847;709626436
0,8200000000000001;-1,0237878633115467;-0,16896324812686744;-1,188477009508721;-0,48824230856688183;0,0641131169710752;0,08364183599033116;0,5479742405625965;-1,8343906768193452;0,3976463705574451;-0,12174898477306093;709626436
0,8300000000000001;-0,9628076572100057;-0,19460878594801115;-1,3330862543632152;-0,37775148708556006;0,25732860730566964;0,13998558450506993;0,45356530611208057;-1,8447832645802684;0,3532844116538986;-0,050041470338611505;709626436
0,84;-1,1203386311401444;-0,2700015905263511;-1,2436371388309297;-0,2765889118589333;0,23516513162458755;0,25310151947310466;0,4257311125727955;-1,9081515975100107;0,3496554302211774;-0,12596919028465217;709626436
0,85;-1,1096140021376402;-0,26059436142347125;-1,2913988268160166;-0,41018685958931334;0,1981195838626947;0,45431560611489696;0,37866806722475277;-1,77555190415781;0,5554585093148983;-0,3339696039619816;709626436
0,86;-0,9648959461000103;-0,29531085235540105;-1,267116939476382;-0,37959523555349284;0,1689700852730541;0,4351565366115794;0,30836067914917853;-1,7971954773188157;0,6456295834693428;-0,3406484759809893;709626436
0,87;-0,97290303083598;-0,3785620822017665;-1,1648734415689614;-0,38029908643695337;0,0559234297169242;0,4112212826747398;0,33507291224655744;-1,6780499195340772;0,584994023404696;-0,44350756808561376;709626436
0,88;-0,9917946681714617;-0,45555939412499497;-0,9809201150307745;-0,34696595597118296;-0,0615296027570041;0,2696562175133633;0,32306990624868154;-1,7936197039603954;0,5637815882395206;-0,5039029647672295;709626436
0,89;-1,1042139255710908;-0,34626563249500086;-1,0495728001448328;-0,4024867859470437;0,03634115976414318;0,3602411755788922;0,36067773289267585;-1,7426040113350014;0,656845631224931;-0,5887269653803603;709626436
0,9;-0,9348894972994803;-0,3429481427651271;-1,0154031874790848;-0,3396119380598518;0,030494881446902364;0,3237871493414888;0,44146076397817957;-1,9530891831338304;0,681801509760141;-0,5623408672086087;709626436
0,91;-0,9835331000788302;-0,4052683721100525;-0,8932075749509352;-0,5295081707675663;0,058182461881378406;0,6064311898248356;0,4296463978497493;-1,9952689528842875;0,796546514753736;-0,6532493036526905;709626436
0,92;-1,0272653028822274;-0,2980488733369375;-0,695010182037828;-0,41266460047462455;0,15917403989785467;0,6534330932145399;0,5190522772218878;-1,9686285784634612;0,8042225577542362;-0,5873574910970176;709626436
0,93;-1,0991968394392477;-0,22339898148889323;-0,6853930309706694;-0,2545697277046856;0,19009965164183332;0,6850051112701347;0,6593947005419605;-1,8660070645058773;0,9223755590930928;-0,7197348964293557;709626436
0,9400000000000001;-1,0305825468077812;-0,21843373155038182;-0,6758749664765767;-0,3729739127310802;0,21739088008203852;0,7676555651274187;0,7033064091471468;-2,047821688391348;0,8141175729569844;-0,6619999428461553;709626436
0,9500000000000001;-1,173674769458752;-0,3065181775485691;-0,7638748646432149;-0,34843091565587214;0,06758503966145313;0,767330811602726;0,7029503446042271;-2,07890449871715;0,8791059338267978;-0,571445797628071;709626436
0,96;-1,3134724471751515;-0,320647691482876;-0,6773400738344652;-0,27436823473856403;-0,02779241184248027;0,6942136127652203;0,7992172942073896;-2,2732284219412957;0,8066946787746397;-0,5560775108886454;709626436
0,97;-1,307844148496965;-0,2500225170971725;-0,5933042970261371;-0,1883744147655939;0,03820740877156305;0,46589413043204586;0,8880290680496805;-2,2409892079913742;0,8426902412558421;-0,534024845575734;709626436
0,98;-1,1629532646566154;-0,22027290168884048;-0,8136247636740832;-0,19387015272159488;-0,04966983047363402;0,39759780947410683;0,7716396889775383;-2,2734420484286426;1,0533847752053491;-0,4749452836804792;709626436
0,99;-1,0621216106064955;-0,24974911991591583;-0,7240459355668578;-0,06692062391194473;0,06905501354539406;0,383520740916235;0,9188523354534746;-2,285837291605715;1,0701861741680714;-0,4454413419650893;709626436
1,0;-1,1500821996400419;-0,14361133243308039;-0,602561064224268;-0,030428532861321536;0,22313445866316567;0,3210482702404651;0,875447934733068;-2,3691546524751037;1,010979154369098;-0,6174354786972629;709626436
1,01;-1,050267983161113;-0,24680613666025936;-0,6885357181232317;-0,1624773665154241;0,2717174892023363;0,2539096446488928;0,7161900644715322;-2,3022331519369548;1,1530808045658976;-0,6623707917158027;709626436
1,02;-0,8788178100399582;-0,20925888647271637;-0,7080582559881468;-0,17084703939660806;0,07707270925963125;0,29653040052934854;0,5687791272584239;-2,331810138691438;1,1245774212708053;-0,6168930274141424;709626436
1,03;-0,9035344400302959;-0,11513726097179752;-0,7635435226433418;-0,13936888206296533;0,16849838676156575;0,2388316863111134;0,48871774673315915;-2,4129298159366503;1,1059178546344486;-0,6711629647799547;709626436
1,04;-0,9992288228239007;-0,16332889449552732;-0,7717320071265084;0,012008278668010575;0,39802308882600995;0,17131713178077232;0,2746723318342867;-2,4614136305017014;1,0885400520116093;-0,5605603138240649;709626436
1,05;-1,0154651156704229;-0,1790577387731758;-0,7651616242980297;0,09089697629581167;0,6456530904359838;0,1726093818233877;0,3742063786881089;-2,509238878500564;1,1888744890366854;-0,7936453062378518;709626436
